Sample_Type,Genes,Log_Fold_Expression
CRC,TGFBI,-1.2684593404247
CRC,TGFBI,40
CRC,TGFBI,-1.3100481712583
CRC,TGFBI,1.08824107347911
CRC,TGFBI,1.77445678223346
CRC,TGFBI,40
CRC,TGFBI,0.291121815835176
CRC,TGFBI,0.37429947750237
AA,TGFBI,40
AA,TGFBI,40
AA,TGFBI,-0.214875625973585
AA,TGFBI,2.34283747029261
AA,TGFBI,-0.914954278339128
AA,TGFBI,40
AA,TGFBI,-2.5646445680718
AA,TGFBI,-2.82804049668458
AA,TGFBI,-2.04478418265184
AA,TGFBI,40
AA,TGFBI,-1.73979942320546
AA,TGFBI,40
AA,TGFBI,-2.44249065417535e-15
AA,TGFBI,0.152492379723185
AA,TGFBI,-0.762461898615941
AA,TGFBI,-3.8469668521077
AA,TGFBI,-1.90615474653985
AA,TGFBI,-1.2476649250079
AA,TGFBI,-0.15249237972319
AA,TGFBI,-2.5854389834886
AA,TGFBI,-1.96853799279024
AA,TGFBI,40
AA,TGFBI,40
AA,TGFBI,40
AA,TGFBI,-0.727804539587943
AA,TGFBI,0.325779174863174
AA,TGFBI,-2.16261920334703
AA,TGFBI,-0.838708088477537
Col_Neg,TGFBI,40
Col_Neg,TGFBI,40
Col_Neg,TGFBI,-3.43801001557733
Col_Neg,TGFBI,40
Col_Neg,TGFBI,-2.08637301348543
Col_Neg,TGFBI,40
Col_Neg,TGFBI,-2.86269785571258
Col_Neg,TGFBI,40
Col_Neg,TGFBI,-1.11596696070151
Col_Neg,TGFBI,40
Col_Neg,TGFBI,40
Col_Neg,TGFBI,-1.18528167875751
Col_Neg,TGFBI,-2.5646445680718
Col_Neg,TGFBI,40
Col_Neg,TGFBI,-1.67741617695507
Col_Neg,TGFBI,40
Col_Neg,TGFBI,-2.39828924473741
Col_Neg,TGFBI,-2.73793136321178
CON,TGFBI,-0.99813194000632
CON,TGFBI,-3.43107854377173
CON,TGFBI,-3.16768261515895
CON,TGFBI,-3.53505062085572
CON,TGFBI,-2.00319535181824
CON,TGFBI,-2.01012682362384
CON,TGFBI,40
CON,TGFBI,40
CON,TGFBI,40
CON,TGFBI,-1.51799232542628
