Sample_Type,GAPDH,TGFBI,RPS10,CEMIP,SLCO4A1,MMP11,GDF15,ETV4,NME2,COL11A1,TRIB3,SIM2,MMP3,MMP1,CXCL8,REG1A,KRT80,CEL,COMP,DPEP1,CPNE7
CON,29.69,40,35.86,40,40,40,40,40,32.45,40,40,40,40,35.31,32.4,32.96,38.5,40,40,40,40
CON,28.68,36.75,37.49,40,40,40,40,40,31.58,40,32.2,40,40,40,31.53,33.75,40,40,40,40,40
CON,29.22,36.3,36.92,40,40,40,40,40,32.28,40,34.22,40,40,33.95,27.67,33.6,35.23,38.48,40,40,40
CON,30.41,37.7,38.44,40,40,40,40,40,32.95,40,36.74,40,40,37.76,32.85,34.87,37.18,40,40,40,40
CON,30.42,40,38.44,40,40,40,40,38.71,32.54,40,40,40,40,39.01,35.48,36.13,36.07,40,40,40,40
CON,30.94,38.3,40,40,40,40,40,40,33.43,40,37.94,40,40,40,35.73,37.64,37.23,40,40,40,40
CON,29.71,40,40,40,40,40,40,37.4,32.06,40,37.89,40,40,37.77,30.6,34.73,34.37,38.12,40,40,40
CON,27.84,40,32.64,40,40,40,40,36.17,30.63,40,33.7,38.09,40,33.46,24.6,32.28,32.54,34.56,40,40,38.22
CON,30.39,40,38.41,40,40,40,40,40,34.7,40,40,40,40,39.15,32.6,37.56,40,35.28,40,40,40
CON,30.22,40,38.1,40,40,40,40,40,31.49,40,36.61,40,40,40,34.16,40,39.19,40,40,40,40
CON,32.14,37.41,36.53,40,40,40,40,40,34.49,40,37.68,40,40,40,31.47,37.5,37.59,40,40,40,40
CON,29.41,36.88,34.27,40,40,40,40,40,32.13,40,35.8,40,40,34.87,32.63,32.35,34.67,40,40,40,40
CON,25.74,33.48,34.15,40,40,40,26.97,36.09,28.9,40,32.25,40,40,34.46,26.61,34.06,33.39,37.72,40,40,40
CON,30.1,40,37.22,40,40,40,40,40,34.34,40,40,40,40,40,34.27,40,39.11,36.52,40,40,40
CON,27.68,32.77,35.72,34.46,40,34.78,40,33.37,28.53,40,31.89,34.28,40,34.06,22.01,33.76,34.5,35.98,40,40,32.04
CON,29.2,37.23,36.68,40,40,40,40,40,32.17,40,35.43,38.06,40,36.28,31.48,34.52,32.61,37.01,40,40,40
CON,30.55,40,38.46,40,40,40,40,37.55,33.24,40,37.35,38.18,40,34.76,36.71,35.2,34.33,40,40,40,40
CON,29.19,40,40,40,40,40,40,40,30.31,40,35.68,40,40,40,33.22,34.24,35.9,40,40,40,40
CON,30.42,37.44,36.49,40,40,40,40,37.48,33.3,40,37.76,37.69,40,36.13,28.7,34.2,32.63,40,40,40,40
CON,31.2,40,40,40,40,40,40,40,32.85,40,36.78,40,40,36.46,32.47,33.48,36.36,40,40,40,40
