Sample_Type,Genes,Ct
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CON,DPEP1,40
CRC,CPNE7,30.23
CRC,CPNE7,31.86
CRC,CPNE7,36.86
CRC,CPNE7,28.73
CRC,CPNE7,30.63
CRC,CPNE7,40
CRC,CPNE7,26.77
CRC,CPNE7,40
CRC,CPNE7,35.57
CRC,CPNE7,36.23
CRC,CPNE7,36.17
CRC,CPNE7,40
CRC,CPNE7,40
CRC,CPNE7,32.74
CRC,CPNE7,31.96
CRC,CPNE7,38.47
CRC,CPNE7,32.15
CRC,CPNE7,37.41
CRC,CPNE7,30.51
CRC,CPNE7,38.19
CRC,CPNE7,36.86
CRC,CPNE7,33.23
CRC,CPNE7,35.44
CRC,CPNE7,31.75
CRC,CPNE7,40
CRC,CPNE7,40
CRC,CPNE7,40
CRC,CPNE7,40
CRC,CPNE7,37.32
CRC,CPNE7,34.72
CRC,CPNE7,40
CRC,CPNE7,36.45
CRC,CPNE7,35.22
AA,CPNE7,40
AA,CPNE7,40
AA,CPNE7,40
AA,CPNE7,31.76
AA,CPNE7,37.53
AA,CPNE7,40
AA,CPNE7,35.19
AA,CPNE7,40
AA,CPNE7,36.93
AA,CPNE7,40
AA,CPNE7,38.15
AA,CPNE7,40
AA,CPNE7,40
AA,CPNE7,40
AA,CPNE7,37.48
AA,CPNE7,40
AA,CPNE7,40
AA,CPNE7,40
AA,CPNE7,35.94
AA,CPNE7,40
AA,CPNE7,40
AA,CPNE7,40
AA,CPNE7,40
AA,CPNE7,40
AA,CPNE7,40
AA,CPNE7,40
AA,CPNE7,40
AA,CPNE7,35.14
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
Col_Neg,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,38.49
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,38.22
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,32.04
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
CON,CPNE7,40
